date,dma,treatment,treatment_period,revenue
2012-04-01T00:00:00Z,500,1,0,76718.736
2012-04-01T00:00:00Z,501,0,0,2096176.536
2012-04-01T00:00:00Z,502,0,0,34993.8504
2012-04-01T00:00:00Z,503,0,0,34198.7544
2012-04-01T00:00:00Z,504,0,0,641014.2144
2012-04-01T00:00:00Z,505,1,0,327989.3112
2012-04-01T00:00:00Z,506,0,0,542373.984
2012-04-01T00:00:00Z,507,0,0,49080.1968
2012-04-01T00:00:00Z,508,0,0,230705.2944
2012-04-01T00:00:00Z,509,0,0,51699.4488
2012-04-01T00:00:00Z,510,0,0,287997.4008
2012-04-01T00:00:00Z,511,1,0,564910.3944
2012-04-01T00:00:00Z,512,0,0,241449.7464
2012-04-01T00:00:00Z,513,1,0,82045.5336
2012-04-01T00:00:00Z,514,0,0,157861.0944
2012-04-01T00:00:00Z,515,0,0,149136.624
2012-04-01T00:00:00Z,516,0,0,31408.4808
2012-04-01T00:00:00Z,517,1,0,183142.6344
2012-04-01T00:00:00Z,518,0,0,104594.7384
2012-04-01T00:00:00Z,519,0,0,46660.8816
2012-04-01T00:00:00Z,520,0,0,35264.8728
2012-04-01T00:00:00Z,521,1,0,127206.432
2012-04-01T00:00:00Z,522,0,0,35494.884
2012-04-01T00:00:00Z,523,0,0,88089.7392
2012-04-01T00:00:00Z,524,0,0,383967.6192
2012-04-01T00:00:00Z,525,1,0,15370.7976
2012-04-01T00:00:00Z,526,0,0,23615.9424
2012-04-01T00:00:00Z,527,0,0,169157.592
2012-04-01T00:00:00Z,528,1,0,626294.2176
2012-04-01T00:00:00Z,529,0,0,112196.4552
2012-04-01T00:00:00Z,530,0,0,34400.0232
2012-04-01T00:00:00Z,531,0,0,51986.4984
2012-04-01T00:00:00Z,532,0,0,115934.94
2012-04-01T00:00:00Z,533,0,0,239605.0056
2012-04-01T00:00:00Z,534,1,0,306014.9904
2012-04-01T00:00:00Z,535,0,0,148151.592
2012-04-01T00:00:00Z,536,1,0,48022.956
2012-04-01T00:00:00Z,537,0,0,26071.8336
2012-04-01T00:00:00Z,538,0,0,90076.1544
2012-04-01T00:00:00Z,539,0,0,368264.844
2012-04-01T00:00:00Z,540,0,0,45119.0592
2012-04-01T00:00:00Z,541,0,0,82127.7144
2012-04-01T00:00:00Z,542,1,0,87067.2168
2012-04-01T00:00:00Z,543,0,0,60329.8296
2012-04-01T00:00:00Z,544,1,0,147166.56
2012-04-01T00:00:00Z,545,1,0,41746.4784
2012-04-01T00:00:00Z,546,1,0,57527.1288
2012-04-01T00:00:00Z,547,1,0,74758.5432
2012-04-01T00:00:00Z,548,1,0,167434.0992
2012-04-01T00:00:00Z,549,0,0,26167.1976
2012-04-01T00:00:00Z,550,1,0,25310.4336
2012-04-01T00:00:00Z,551,0,0,46199.1888
2012-04-01T00:00:00Z,552,0,0,7779.708
2012-04-01T00:00:00Z,553,0,0,18961.5456
2012-04-01T00:00:00Z,554,0,0,27629.9928
2012-04-01T00:00:00Z,555,0,0,81430.0992
2012-04-01T00:00:00Z,556,1,0,93649.968
2012-04-01T00:00:00Z,557,1,0,80710.3008
2012-04-01T00:00:00Z,558,0,0,7774.2648
2012-04-01T00:00:00Z,559,0,0,25704.6336
2012-04-01T00:00:00Z,560,0,0,183401.5752
2012-04-01T00:00:00Z,561,1,0,110637.4536
2012-04-01T00:00:00Z,563,1,0,119084.544
2012-04-01T00:00:00Z,564,0,0,93478.1472
2012-04-01T00:00:00Z,565,1,0,21861.0936
2012-04-01T00:00:00Z,566,1,0,143786.0232
2012-04-01T00:00:00Z,567,0,0,140094.6408
2012-04-01T00:00:00Z,569,0,0,12022.1352
2012-04-01T00:00:00Z,570,0,0,41319.6336
2012-04-01T00:00:00Z,571,0,0,82660.9752
2012-04-01T00:00:00Z,573,0,0,69202.8144
2012-04-01T00:00:00Z,574,0,0,68800.2984
2012-04-01T00:00:00Z,575,0,0,69402.3336
2012-04-01T00:00:00Z,576,1,0,28102.6008
2012-04-01T00:00:00Z,577,1,0,151176.816
2012-04-01T00:00:00Z,581,1,0,26977.6152
2012-04-01T00:00:00Z,582,0,0,11175.192
2012-04-01T00:00:00Z,583,0,0,2007.0504
2012-04-01T00:00:00Z,584,0,0,11770.8264
2012-04-01T00:00:00Z,588,0,0,61446.8664
2012-04-01T00:00:00Z,592,0,0,23377.788
2012-04-01T00:00:00Z,596,1,0,4423.8456
2012-04-01T00:00:00Z,597,0,0,15239.3616
2012-04-01T00:00:00Z,598,0,0,22126.8024
2012-04-01T00:00:00Z,600,0,0,37875.5568
2012-04-01T00:00:00Z,602,0,0,758528.568
2012-04-01T00:00:00Z,603,0,0,22622.184
2012-04-01T00:00:00Z,604,0,0,32854.0032
2012-04-01T00:00:00Z,605,0,0,36484.38
2012-04-01T00:00:00Z,606,1,0,13505.7312
2012-04-01T00:00:00Z,609,1,0,185071.2552
2012-04-01T00:00:00Z,610,0,0,39313.2744
2012-04-01T00:00:00Z,611,1,0,25233.9408
2012-04-01T00:00:00Z,612,0,0,55055.1528
2012-04-01T00:00:00Z,613,1,0,317687.2416
2012-04-01T00:00:00Z,616,0,0,146676.6792
2012-04-01T00:00:00Z,617,1,0,178821.5688
2012-04-01T00:00:00Z,618,0,0,434032.0272
2012-04-01T00:00:00Z,619,0,0,69049.7784
2012-04-01T00:00:00Z,622,1,0,108207.72
2012-04-01T00:00:00Z,623,0,0,466087.1544
2012-04-01T00:00:00Z,624,1,0,23057.9568
2012-04-01T00:00:00Z,625,0,0,58573.3896
2012-04-01T00:00:00Z,626,0,0,5183.928
2012-04-01T00:00:00Z,627,1,0,25270.4952
2012-04-01T00:00:00Z,628,0,0,56192.1408
2012-04-01T00:00:00Z,630,0,0,114492.8664
2012-04-01T00:00:00Z,631,0,0,9645.4296
2012-04-01T00:00:00Z,632,0,0,62765.2656
2012-04-01T00:00:00Z,633,0,0,32955.1632
2012-04-01T00:00:00Z,634,0,0,39849.0552
2012-04-01T00:00:00Z,635,1,0,143989.0056
2012-04-01T00:00:00Z,636,0,0,60518.0304
2012-04-01T00:00:00Z,637,0,0,57693.1608
2012-04-01T00:00:00Z,638,0,0,7659.4032
2012-04-01T00:00:00Z,639,0,0,12157.6248
2012-04-01T00:00:00Z,640,0,0,104274.3096
2012-04-01T00:00:00Z,641,0,0,145248.7824
2012-04-01T00:00:00Z,642,0,0,39556.62
2012-04-01T00:00:00Z,643,0,0,19643.364
2012-04-01T00:00:00Z,644,1,0,11204.1504
2012-04-01T00:00:00Z,647,0,0,9365.6376
2012-04-01T00:00:00Z,648,0,0,58935.2904
2012-04-01T00:00:00Z,649,0,0,40325.9328
2012-04-01T00:00:00Z,650,0,0,108099.756
2012-04-01T00:00:00Z,651,0,0,24471.0144
2012-04-01T00:00:00Z,652,0,0,64506.4704
2012-04-01T00:00:00Z,656,1,0,23840.2152
2012-04-01T00:00:00Z,657,0,0,16045.7904
2012-04-01T00:00:00Z,658,0,0,82171.692
2012-04-01T00:00:00Z,659,0,0,172648.4472
2012-04-01T00:00:00Z,661,0,0,8659.2456
2012-04-01T00:00:00Z,662,0,0,18533.268
2012-04-01T00:00:00Z,669,0,0,67241.7648
2012-04-01T00:00:00Z,670,0,0,58873.1616
2012-04-01T00:00:00Z,671,1,0,77512.4568
2012-04-01T00:00:00Z,673,1,0,28316.2176
2012-04-01T00:00:00Z,675,0,0,44629.6824
2012-04-01T00:00:00Z,676,1,0,33565.0608
2012-04-01T00:00:00Z,678,1,0,106136.856
2012-04-01T00:00:00Z,679,1,0,75676.6728
2012-04-01T00:00:00Z,682,0,0,59374.8648
2012-04-01T00:00:00Z,686,1,0,84427.9992
2012-04-01T00:00:00Z,687,1,0,43548.5304
2012-04-01T00:00:00Z,691,1,0,70351.6824
